Date	        Open	High	Low	Close	Volume
3/12/2015	78.1	79.05	77.91	78.93	15857398
3/11/2015	77.8	78.43	77.26	77.57	20215704
3/10/2015	78.5	79.26	77.55	77.55	23067057
3/9/2015	79.68	79.91	78.63	79.44	18925097
3/6/2015	80.9	81.33	79.83	80.005	24488581
3/5/2015	81.23	81.99	81.05	81.21	27825733
3/4/2015	79.3	81.15	78.85	80.895	28057010
3/3/2015	79.61	79.7	78.52	79.6	18602170
3/2/2015	79	79.855	78.52	79.75	21645890
2/27/2015	80.68	81.23	78.62	78.97	30705140
2/26/2015	79.88	81.37	79.72	80.41	30980750
2/25/2015	78.5	80.2	78.5	79.56	25546020
2/24/2015	78.5	79.48	78.1	78.45	18871220
2/23/2015	80	80.19	78.38	78.84	24080429
2/20/2015	79.56	80.34	79.2	79.895	36871429
2/19/2015	76.95	79.84	76.95	79.42	45745530
2/18/2015	75.81	76.9	75.45	76.71	22334813
2/17/2015	75.1	76.91	75.08	75.6	25227937
2/13/2015	76.46	76.48	75.5	75.74	18395055
2/12/2015	76.86	76.87	75.89	76.23	17189887
2/11/2015	75.09	76.75	75.03	76.51	20719657
2/10/2015	74.85	75.34	74.5	75.19	15753368
2/9/2015	74.05	74.83	73.45	74.44	16163037
2/6/2015	75.65	75.7	74.25	74.47	20996472
2/4/2015	75.07	76.35	75.01	75.63	20132213
2/3/2015	75.16	75.58	73.86	75.4	26891865
2/2/2015	76.13	76.14	73.75	74.99	41814496
1/30/2015	78.02	78.16	75.75	75.91	42485679
1/29/2015	76.81	78.02	74.21	78	60519095
1/28/2015	76.9	77.638	76	76.24	47619135
1/26/2015	77.98	78.47	77.29	77.495	19229120
1/23/2015	77.65	78.19	77.04	77.83	16711610
1/22/2015	77.17	77.75	76.68	77.65	19491720
1/21/2015	76.14	77.3	75.85	76.74	24911680
1/20/2015	75.75	76.31	74.82	76.24	22756818
1/15/2015	76.4	76.57	73.54	74.05	34012354
1/14/2015	76.4	77.2	76.0291	76.28	25817706
1/13/2015	77.2	78.08	75.85	76.45	25111335
1/12/2015	77.84	78	76.21	76.72	19136908
1/8/2015	76.75	78.23	76.08	78.175	23898687
1/6/2015	77.26	77.59	75.365	76.15	27340533
1/5/2015	77.98	79.2455	76.86	77.19	25934990
1/2/2015	78.59	78.93	77.7	78.45	18133336
12/31/2014	79.48	79.8	77.86	78.02	19968814
12/30/2014	79.78	80.59	79.1	79.22	14352687
12/26/2014	81.02	81.28	80.51	80.775	10623101
12/24/2014	81.06	81.43	80.75	80.77	7684481
12/23/2014	82	82.17	80.4	80.61	19824474
12/22/2014	80.02	81.89	80	81.45	31299078
12/19/2014	78.64	80	78.33	79.88	43150164
12/18/2014	76.95	78.4	76.51	78.4	34103582
12/17/2014	75.02	76.41	74.9	76.11	29109494
12/16/2014	76.2	77.39	74.59	74.69	31443611
12/15/2014	78.49	78.58	76.56	76.99	29324006
12/10/2014	76.62	77.55	76.07	76.18	32096414
12/9/2014	75.23	76.93	74.78	76.84	25283447
12/5/2014	75.77	76.76	75.36	76.36	24245255
12/4/2014	74.81	75.55	74.66	75.24	14359961
12/2/2014	75.33	75.91	75.04	75.46	16725242
12/1/2014	77.26	77.31	74.8	75.1	31644957
11/28/2014	77.69	78.27	77.23	77.7	15991872
11/26/2014	75.53	77.78	75.51	77.62	32651841
11/25/2014	74.18	75.74	74.13	75.63	32232887
11/24/2014	73.54	74.35	73.35	74.01	22080500
11/21/2014	74.5	74.5	73.5	73.75	23039660
11/20/2014	72.8	73.99	72.51	73.6	19127242
11/19/2014	74.01	74.54	73.11	73.33	25391184
11/18/2014	74.47	74.8	73.9	74.34	20629128
11/17/2014	74.88	75.655	73.88	74.24	28669580
11/14/2014	74.27	74.93	74.04	74.88	19416910
11/13/2014	74.74	75.24	73.64	74.25	26408940
11/12/2014	74.28	75.14	73.54	74.72	26497580
11/11/2014	74.95	74.98	74.03	74.61	18702040
11/10/2014	75.36	75.4799	74.61	75	21526460
11/7/2014	75.43	75.855	75.02	75.6	20739813
11/6/2014	74.85	75.6	74.31	75.26	21287749
11/4/2014	74.24	75.77	73.65	75.76	39145804
11/3/2014	75.5	75.52	73.7	73.88	40390871
10/31/2014	74.98	75.7	74.45	74.99	44403970
10/30/2014	75.03	75.35	72.9	74.11	83051219
10/29/2014	75.5	76.88	74.78	75.86	105638828
10/28/2014	80.25	81.16	79.57	80.77	59013760
10/27/2014	80.76	80.8	79.76	80.28	29745769
10/24/2014	80.2	80.8183	79.32	80.67	32093898
10/23/2014	79.37	80.63	79.01	80.04	34813094
10/22/2014	78.815	79.85	78.01	78.37	41799140
10/21/2014	77.56	78.74	77.15	78.69	32176370
10/20/2014	75.6	77.09	75.38	76.95	34442273
10/17/2014	74.15	76	73.75	75.95	69309246
10/16/2014	70.8	73.35	70.58	72.63	53348315
10/15/2014	71.61	73.8	70.32	73.21	61279193
10/14/2014	73.98	74.18	72.05	73.59	50015670
10/13/2014	73.2	74.78	72.52	72.99	43785216
10/10/2014	75.57	76.5	72.76	72.91	51958892
10/9/2014	77.19	77.7601	75.85	75.91	32230403
10/8/2014	76.18	77.71	75.1	77.49	32066827
10/7/2014	77.07	77.95	76.24	76.29	25220515
10/6/2014	77.17	77.89	76.85	77.555	25679100
10/3/2014	77.69	78.06	77.26	77.44	23260013
10/2/2014	76.6	77.48	75.64	77.08	36371609
10/1/2014	78.72	78.82	75.9	76.55	54941808
9/30/2014	79.33	79.7067	78.6	79.04	34541358
